ID,SEL_100,VAL,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
1315817,0.02,0.11,-1.41,13.44,10.45,basic,basic,basic,247.336,0.112,1.34,68.01,2,2,green,green,green
591570,0.48,0.86,2.86,13.73,9.24,basic,basic,basic,463.53,5.14,4.67,105.75,3,4,yellow,yellow,yellow
87221,0.0,0.24,2.44,8.35,-1.56,neutral,neutral,neutral,294.305,2.22,2.48,93.35,3,4,green,green,yellow
172779,0.03,0.27,3.99,4.74,-0.84,acidic,acidic,acidic,456.7,6.009,6.59,57.53,1,3,red,yellow,yellow
355937,0.07,0.11,3.45,,2.86,neutral,neutral,neutral,356.781,4.005,3.45,56.22,0,4,yellow,green,yellow
214404,0.02,0.1,4.17,,6.26,basic,neutral,neutral,519.475,4.854,4.19,105.86,0,6,yellow,red,red
429751,0.11,0.57,4.28,12.73,5.1,neutral,neutral,neutral,486.605,4.894,4.29,99.87,3,4,yellow,yellow,red
1290159,0.05,0.16,3.77,10.76,4.28,neutral,neutral,neutral,357.289,3.439,3.77,90.7,2,4,yellow,green,yellow
252768,0.88,0.97,6.84,14.1,9.78,basic,basic,basic,528.94,10.006,9.19,23.47,1,1,red,red,red
24971,0.71,0.99,5.04,,8.58,basic,basic,basic,450.563,5.18,6.24,15.71,0,1,red,yellow,red
1292204,0.01,0.06,2.82,11.28,-2.74,neutral,neutral,neutral,310.35,3.36,2.82,76.88,1,4,green,green,yellow
366324,0.59,1.0,2.95,8.91,3.75,neutral,neutral,neutral,477.555,2.812,2.96,123.66,4,5,green,yellow,yellow
366325,0.62,1.0,2.86,8.91,3.42,neutral,neutral,neutral,473.524,3.269,2.88,136.21,5,5,green,yellow,yellow
428400,0.04,0.05,4.12,11.52,5.49,neutral,neutral,neutral,411.416,3.659,4.12,110.24,2,6,yellow,yellow,red
623304,0.14,0.68,-9.22,-1.78,-3.16,acidic,acidic,acidic,424.442,-3.666,-8.54,228.27,8,12,green,yellow,green
1282100,0.0,0.42,2.52,,,neutral,neutral,neutral,138.187,1.83,2.52,20.23,1,1,green,green,yellow
1313925,0.05,0.39,3.64,14.98,2.55,neutral,neutral,neutral,273.128,3.911,3.64,28.68,1,1,yellow,green,yellow
373806,0.81,0.93,-5.83,3.25,11.93,zwiterionic,zwiterionic,zwiterionic,332.31,-3.092,-6.06,200.72,6,8,green,green,green
438153,0.08,0.34,3.42,10.4,2.98,neutral,neutral,neutral,390.414,3.605,2.77,97.86,3,3,green,green,yellow
490228,0.27,0.55,3.53,14.78,-0.46,neutral,neutral,neutral,348.438,4.254,3.53,58.2,2,2,yellow,green,yellow
1325409,0.02,0.44,3.96,14.01,4.96,neutral,neutral,neutral,357.837,4.334,3.96,66.07,2,3,yellow,green,yellow
1312668,0.0,0.04,3.2,11.46,-1.58,neutral,neutral,neutral,293.244,3.295,3.2,61.54,2,2,yellow,green,yellow
1315365,0.0,0.16,4.1,10.68,1.23,neutral,neutral,neutral,273.128,4.422,4.1,28.68,1,1,yellow,green,red
369678,0.0,0.18,-0.88,8.72,-2.98,neutral,neutral,neutral,370.098,-0.547,-0.86,124.78,4,6,green,green,green
127106,0.67,1.0,1.54,,9.06,basic,basic,basic,503.603,4.159,3.2,52.57,0,3,yellow,red,green
36864,0.0,0.56,-0.26,9.96,3.72,neutral,neutral,neutral,167.192,-0.616,-0.26,83.38,3,2,green,green,green
199453,0.12,0.69,-0.02,13.81,-3.18,neutral,neutral,neutral,326.391,-1.275,-0.02,81.08,2,4,green,green,green
471225,0.32,0.55,3.69,,6.88,basic,neutral,neutral,612.651,4.272,3.8,112.86,1,8,yellow,red,yellow
390790,0.16,1.0,2.86,9.56,-3.07,neutral,neutral,neutral,307.3,3.078,2.86,79.54,2,4,green,green,yellow
21617,0.72,0.93,2.55,9.71,8.39,basic,basic,basic,577.714,2.034,3.43,118.21,3,5,yellow,red,yellow
6816,0.75,0.86,-1.69,4.02,-2.09,acidic,acidic,acidic,253.317,0.767,1.46,66.4,1,3,green,green,green
475598,0.43,0.57,5.5,9.62,7.04,basic,neutral,neutral,851.963,6.957,3.86,146.53,2,8,yellow,red,red
365284,0.08,0.49,-2.18,10.16,1.76,neutral,neutral,neutral,255.231,-2.013,-2.18,139.28,4,6,green,green,green
365281,0.72,0.78,1.68,12.42,-3.33,neutral,neutral,neutral,392.461,0.978,1.68,94.83,3,5,green,green,green
120086,0.83,0.91,2.84,12.11,-4.06,neutral,neutral,neutral,284.348,1.161,2.84,57.15,1,5,green,green,yellow
42179,0.85,0.88,4.08,,6.74,basic,neutral,neutral,422.563,3.901,4.16,48.91,0,3,yellow,yellow,red
96989,0.94,1.0,3.91,,8.06,basic,basic,neutral,344.901,4.298,4.65,6.48,0,0,yellow,green,yellow
35586,0.59,1.0,4.75,,8.59,basic,basic,basic,414.582,5.18,5.96,15.71,0,1,red,yellow,red
346489,0.01,0.04,1.86,13.3,-2.81,neutral,neutral,neutral,317.651,2.232,1.86,60.05,1,3,green,green,green
520708,0.18,0.41,2.75,11.89,3.28,neutral,neutral,neutral,327.424,2.259,2.75,86.72,3,4,green,green,yellow
378218,0.09,0.51,3.29,6.89,-4.43,acidic,acidic,neutral,327.12,4.687,3.26,92.47,2,4,yellow,green,yellow
10358,0.26,0.35,1.52,,9.47,basic,basic,basic,274.788,3.628,3.58,16.13,0,1,yellow,green,green
353484,0.04,0.11,0.6,14.02,-0.51,neutral,neutral,neutral,374.414,1.122,0.6,135.17,2,6,green,green,green
88882,0.36,0.85,-0.09,3.7,-3.84,acidic,acidic,acidic,319.399,2.962,3.21,57.61,0,3,yellow,green,green
1292463,0.3,0.91,2.09,11.11,4.4,neutral,neutral,neutral,407.918,3.516,2.09,99.77,3,4,green,yellow,yellow
1064890,0.0,0.28,2.57,12.71,-3.47,neutral,neutral,neutral,362.503,4.36,2.57,73.22,3,4,green,green,yellow
51162,0.82,0.89,2.07,13.79,9.46,basic,basic,basic,378.312,3.633,4.11,45.15,2,2,yellow,green,yellow
51163,0.18,0.32,-1.33,14.5,10.0,basic,basic,basic,323.818,1.573,1.21,67.59,2,2,green,green,green
60607,0.17,0.34,-0.81,14.63,-2.96,neutral,neutral,neutral,227.192,-0.848,-0.81,90.37,2,4,green,green,green
88317,0.48,0.48,3.84,,-3.94,neutral,neutral,neutral,312.401,2.049,3.84,46.15,0,5,yellow,green,yellow
1316015,0.05,0.23,3.37,14.55,4.16,neutral,neutral,neutral,338.423,3.521,3.37,51.22,1,3,yellow,green,yellow
139754,0.0,0.0,0.7,,-0.46,neutral,neutral,neutral,163.605,1.32,0.7,45.03,0,3,green,green,green
710736,0.0,0.0,6.18,19.49,-0.84,neutral,neutral,neutral,484.71,5.019,6.18,63.6,1,4,red,yellow,red
366278,0.74,0.88,-0.59,8.19,6.78,basic,neutral,neutral,383.507,0.305,-0.68,118.8,2,5,green,green,green
366279,0.53,0.93,0.13,11.09,-3.72,neutral,neutral,neutral,339.362,-0.462,0.13,115.54,1,8,green,green,green
1323390,0.04,0.47,2.47,13.89,5.51,neutral,neutral,neutral,306.365,2.696,2.48,83.18,1,4,green,green,yellow
1323396,0.0,0.11,0.98,13.86,1.26,neutral,neutral,neutral,213.035,1.387,0.98,67.59,2,2,green,green,green
5575,0.36,0.83,3.13,8.34,3.9,neutral,neutral,neutral,301.32,2.927,3.17,84.08,2,4,yellow,green,yellow
