ID,SEL_100,SEL_5000,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
1286239,0.02,0.08,3.7,11.23,9.29,basic,basic,basic
520120,0.15,0.66,2.73,14.53,4.08,neutral,neutral,neutral
223772,0.31,0.54,3.57,3.55,-0.35,acidic,acidic,acidic
178290,0.23,0.36,-3.63,12.91,8.06,basic,basic,neutral
37095,0.43,0.96,1.99,10.65,-5.96,neutral,neutral,neutral
198461,0.12,0.92,1.09,,8.39,basic,basic,basic
374719,0.76,0.95,4.46,12.52,-1.49,neutral,neutral,neutral
1306697,0.04,0.17,4.21,9.62,1.0,neutral,neutral,neutral
538022,0.0,0.46,2.76,9.65,4.85,neutral,neutral,neutral
969,0.13,0.6,-0.25,10.57,1.36,neutral,neutral,neutral
307979,0.62,0.91,-1.22,10.2,-0.96,neutral,neutral,neutral
66246,0.52,0.84,0.79,,9.8,basic,basic,basic
12957,0.26,0.83,3.16,12.3,7.15,basic,neutral,neutral
1290393,0.34,0.55,4.65,11.48,4.96,neutral,neutral,neutral
1326839,0.01,0.1,4.24,11.69,-1.65,neutral,neutral,neutral
122901,0.0,0.37,-2.3,12.9,8.49,basic,basic,basic
1325710,0.03,0.09,5.23,,6.58,basic,neutral,neutral
338477,0.23,0.46,2.32,9.72,-4.3,neutral,neutral,neutral
1315609,0.0,0.36,3.26,11.24,9.75,basic,basic,basic
68396,0.39,0.75,0.17,3.57,-4.07,acidic,acidic,acidic
67010,0.34,0.63,2.82,10.06,0.42,neutral,neutral,neutral
1315817,0.02,0.11,-1.41,13.44,10.45,basic,basic,basic
