INDEX,SMILES,ID,STATE_50,VAL,logD
120,C[C@@H]1C(=O)O[C@@H]2[C@]1(C34C(=O)O[C@H]5[C@]3(C2)C6([C@@H](C5)C(C)(C)C)[C@H](C(=O)O[C@H]6O4)O)O,15291-75-5,neutral,2.3,0.34
121,C[C@@H]1C(=O)O[C@@H]2[C@]1(C34C(=O)O[C@H]5C3([C@H]2O)C6([C@@H](C5)C(C)(C)C)[C@H](C(=O)O[C@H]6O4)O)O,15291-77-7,neutral,2.3,-0.58
122,c1cc(c(cc1C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O)O,52370-58-8,zwitterionic,4.6,-6.06
123,C[N+]1(CCC(C1)OC(=O)C(c2ccccc2)(C3CCCC3)O)C.[Br-],596-51-0,neutral,16.8,-1.41
124,c1c(c(cc2c1NCNS2(=O)=O)S(=O)(=O)N)C(F)(F)F,135-09-1,neutral,9.7,-0.31
125,CN1[C@@H](C[C@H](C1=O)O)c2cccnc2,34834-67-8,neutral,1.8,-0.73
126,CC[C@]1(CN2CC[C@H]1C[C@@H]2[C@H](c3ccnc4c3cc(cc4)OC)O)O,85405-59-0,basic,12.0,0.43
127,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,114084-78-5,zwitterionic,1.8,-4.86
128,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCNC=N)O,64221-86-9,zwitterionic,3.0,-3.8
129,CC(=O)N(CC(CN(c1c(c(c(c(c1I)C(=O)NC[C@@H](CO)O)I)C(=O)NC[C@@H](CO)O)I)C(=O)C)O)c2c(c(c(c(c2I)C(=O)NC[C@@H](CO)O)I)C(=O)NC[C@@H](CO)O)I,92339-11-2,neutral,1.44,-2.06
130,CC(=O)N(CC(CO)O)c1c(c(c(c(c1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,66108-95-0,neutral,2.0,-1.95
131,CN(c1c(c(c(c(c1I)C(=O)NC[C@@H](CO)O)I)C(=O)NC[C@@H](CO)O)I)C(=O)CO,78649-41-9,neutral,1.4,-1.45
132,C[C@@H](C(=O)Nc1c(c(c(c(c1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O,60166-93-0,neutral,1.9,-0.74
133,CN(CC(CO)O)C(=O)c1c(c(c(c(c1I)NC(=O)COC)I)C(=O)NCC(CO)O)I,73334-07-3,neutral,1.4,-0.44
134,CC(=O)Nc1c(c(c(c(c1I)C(=O)O)I)C(=O)NC)I,2276-90-6,acidic,2.4,-0.79
135,C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N)NC(=O)[C@H](CN)O)O,58152-03-7,basic,1.3,-13.18
136,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N,59-01-8,basic,1.4,-12.67
137,c1cc(ccc1C[C@@H](C(=O)N2CCC(CC2)OCC(=O)O)NC(=O)c3ccc(cc3)C(=N)N)O,144412-49-7,zwitterionic,1.9,-1.2
138,c1cn(c(=O)nc1N)[C@@H]2CS[C@@H](O2)CO,134678-17-4,neutral,4.8,-1.1
