INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
270,CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O,27347,basic,2.7,-0.6,336.426,2.027,1.53,87.66,3,4,green,green,green
271,c1cc(c(c(c1)Cl)CC(=O)NC(=N)N)Cl,66029,neutral,3.0,1.67,246.093,1.379,1.74,78.97,3,1,green,green,green
272,CN1CCC[C@H]1c2cccnc2,115,basic,3.0,-0.31,162.232,1.11,1.16,16.13,0,1,green,green,green
273,CC(C)c1c(c(nc(n1)N(C)S(=O)(=O)C)c2ccc(cc2)F)/C=C/[C@H](C[C@H](CC(=O)O)O)O,418845,acidic,3.3,-1.24,481.538,2.587,1.92,140.92,2,8,green,yellow,green
274,CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CCN(C)C,27111,basic,3.7,-1.24,295.4,1.213,0.74,65.2,2,2,green,green,green
275,CC(C)NCC(COc1cccc2c1cc[nH]2)O,8543,basic,3.9,-0.53,248.321,1.902,1.69,57.28,3,2,green,green,green
276,CCNCC(c1cccc(c1)O)O,139072,basic,4.0,-1.07,181.232,0.788,0.2,52.49,3,2,green,green,green
277,C[C@@H](CN1c2ccccc2Sc3c1cc(cc3)OC)CN(C)C,583530,basic,4.0,2.24,328.472,4.189,4.25,15.71,0,1,yellow,green,yellow
278,C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cc(c(=O)[nH]c2=O)F)O)O,169379,neutral,4.3,-1.35,246.192,-1.022,-1.17,104.55,3,5,green,green,green
279,CCN1CCCC1CNC(=O)c2cc(c(cc2OC)N)S(=O)(=O)CC,389011,neutral,4.4,0.09,369.479,1.19,0.25,101.73,2,4,green,green,green
280,CCN(CC)CCNC(=O)c1ccc(cc1)N,27341,basic,4.5,-0.7,235.325,1.408,0.95,58.36,2,1,green,green,green
281,c1cn(c(=O)nc1N)[C@H]2CC[C@H](O2)CO,65494,neutral,4.5,-1.19,211.218,-0.333,-1.19,90.37,2,4,green,green,green
282,COc1cc2c(cc1C(=O)NCC3CCCN3CC=C)nn[nH]2,57186,basic,5.3,0.82,315.37,2.09,1.03,83.14,2,4,green,green,green
283,CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C.[Br-],79557,neutral,5.4,-2.25,303.195,-1.863,-2.25,29.54,0,2,green,green,green
