INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
122,CCC(C)(C)NCC(COc1ccccc1C(=O)CCc2ccccc2)O,81447-80-5,basic,11.0,1.88,369.497,3.749,4.23,58.56,2,3,yellow,green,green
123,c1ccc2c(c1)[nH]c(=O)n2CCCN3CCC(CC3)n4c5ccc(cc5[nH]c4=O)Cl,57808-66-9,neutral,9.5,2.75,425.911,3.982,2.9,78.82,2,2,green,yellow,yellow
124,c1cc(c(cc1CCN)O)O,51-61-6,basic,65.9,-1.45,153.178,-0.084,-0.06,66.48,3,2,green,green,green
125,COc1cc2c(cc1OC)nc(nc2N)N3CCN(CC3)C(=O)C4COc5ccccc5O4,74191-85-8,neutral,1.6,1.91,451.475,1.463,2.14,112.27,1,7,green,yellow,green
126,CN(C)CC/C=C/1\c2ccccc2COc3c1cccc3,1668-19-5,basic,14.0,1.51,279.376,4.029,3.84,12.47,0,1,yellow,green,green
127,C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cc(c(=O)[nH]c2=O)F)O)O,3094-09-5,neutral,11.0,-1.35,246.192,-1.022,-1.17,104.55,3,5,green,green,green
128,CCCCCCCCOCCOC(=O)CN(CC(=O)O)c1ccccc1OCCOc2ccccc2N(CC(=O)O)CC(=O)OCCOCCCCCCCC,222315-88-0,acidic,14.0,1.37,788.964,7.842,7.99,170.6,0,12,red,red,green
129,CCCCc1c(c2cc(ccc2o1)NS(=O)(=O)C)C(=O)c3ccc(cc3)OCCCN(CCCC)CCCC,141626-36-0,basic,33.33,3.96,556.756,7.972,5.23,88.85,1,5,red,red,yellow
130,CCOc1ccc(cc1OCC)/C=C\2/c3cc(c(cc3CCN2)OCC)OCC,14009-24-6,neutral,3.5,3.89,397.507,4.963,4.19,48.95,1,4,yellow,green,yellow
131,CC1=NN(C(=O)C1)c2ccccc2,89-25-8,neutral,1.42,1.53,174.199,1.54,1.53,32.67,0,2,green,green,green
132,c1cc(c2c(c1)OCCO2)N3CCNCC3,98224-03-4,basic,8.0,-0.38,220.268,0.75,1.06,33.73,1,2,green,green,green
133,CCC#CC[C@H](C)[C@@H](C#C[C@@H]1[C@@H](C[C@H]2[C@@H]1CC(=CCOCCCC(=O)O)C2)O)O,90693-76-8,acidic,66.2,0.46,402.524,1.186,3.31,86.99,2,5,yellow,yellow,green
134,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C,183321-74-6,neutral,1.23,3.2,393.436,2.809,3.2,74.73,1,6,yellow,green,yellow
135,CC(C)NCC(COc1ccc(cc1)CCC(=O)OC)O,81147-92-4,basic,290.0,-0.4,295.374,1.822,1.82,67.79,2,4,green,green,green
136,Cc1cnc(c(c1OC)C)C[S@@](=O)c2[nH]c3ccc(cc3n2)OC,119141-88-7,neutral,3.85,2.43,345.416,1.974,2.43,77.1,1,5,green,green,yellow
137,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,50-28-2,neutral,30.0,3.74,272.382,3.062,3.75,40.46,2,2,yellow,green,yellow
138,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O)OC(=O)N(CCCl)CCCl,4891-15-0,acidic,0.94,1.97,520.383,3.801,4.98,96.3,2,6,yellow,red,green
