INDEX,SMILES,ID,STATE_50,VAL,logD
169,C[C@@H]1[C@@H](CC[C@@]2([C@H]1CC[C@@]3([C@H]2[C@@H](C[C@@H]\4[C@@]3(C[C@@H](/C4=C(/C(=O)[O-])\CC/C=C(\C)/C)OC(=O)C)C)O)C)C)O,751-94-0,acidic,0.35,1.75
170,CN1CC[C@@]23C=C[C@@H](C[C@@H]2Oc4c3c(ccc4OC)C1)O,357-70-0,basic,5.6,-0.36
171,CC(C)[C@@](CCC[N@](C)CCc1ccc(c(c1)OC)OC)(C#N)c2cc(c(c(c2)OC)OC)OC,16662-47-8,basic,14.3,2.63
172,COc1cc2c(cc1OCCCN3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,184475-35-2,neutral,12.0,3.64
173,c1cn(c(=O)nc1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,95058-81-4,neutral,32.0,-1.47
174,CCc1c2c(c(=O)nc([nH]2)c3cc(cnc3OCC)S(=O)(=O)N4CCN(CC4)CC)nn1CCOC,334826-98-1,neutral,14.3,0.58
175,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@@H]3C2,21187-98-4,acidic,0.41,0.79
176,CCC1=C(CN(C1=O)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]3CC[C@@H](CC3)C)C,93479-97-1,acidic,0.5,2.18
177,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,29094-61-9,acidic,0.56,0.49
178,COc1ccc(cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3)Cl,10238-21-8,acidic,0.82,2.85
179,Cn1c2ccccc2c(n1)C(=O)N[C@H]3C[C@H]4CCC[C@@H](C3)N4C,109889-09-0,basic,9.1,0.27
180,B1(C[C@@H](c2c1c(ccc2)OCCCO)CN)O,1093643-37-8,basic,4.1,-1.74
181,c1cc(ccc1C(=O)CCCN2CCC(CC2)(c3ccc(cc3)Cl)O)F,52-86-8,basic,7.8,2.93
182,CC(C)(CCC[C@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2c3cc4c(cc3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,26833-87-4,basic,2.96,-0.12
183,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,50-23-7,neutral,5.7,1.28
184,CN1CC[C@]23c4c5ccc(c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5)O,466-99-9,basic,28.0,0.58
185,CCN(CCCC(C)Nc1ccnc2c1ccc(c2)Cl)CCO,118-42-3,basic,11.0,0.33
186,c1ccc(c(c1)C2=NCc3cnc(n3-c4c2cc(cc4)Cl)CO)F,59468-90-5,neutral,9.71,3.15
187,C(=O)(N)NO,127-07-1,neutral,1.5,-1.37
188,CC(C)Cc1ccc(cc1)C(C)C(=O)O,15687-27-1,acidic,0.82,1.34
189,CCCCCCCN(CC)CCCC(c1ccc(cc1)NS(=O)(=O)C)O,122647-31-8,basic,26.0,0.53
190,Cc1cc(cc(c1)P(=O)(c2c3cc(ccc3[nH]c2C(=O)N)Cl)OC)/C=C/C#N,1097733-15-7,neutral,0.56,3.53
191,Cc1cc(cc(c1)P(=O)(c2c3c(ccc(c3F)Cl)[nH]c2C(=O)N)OC)/C=C/C#N,1254181-18-4,neutral,0.97,3.67
192,CCCCCNC(=O)c1coc(n1)[C@@H]2[C@H]3CC[C@@H]([C@@H]2Cc4ccccc4CCC(=O)O)O3,143443-90-7,acidic,6.4,1.27
193,C1CN(P(=O)(OC1)NCCCl)CCCl,3778-73-2,neutral,1.1,0.1
