Unnamed: 0,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
98,365281,34.2,%,neutral,1.68,12.42,-3.33,neutral,neutral,neutral,392.461,0.978,1.68,94.83,3,5,green,green,green
99,6243,3.2,%,basic,1.37,,10.02,basic,basic,basic,266.381,3.43,3.9,15.27,1,0,yellow,green,green
100,3281,0.7,%,acidic,1.77,6.48,-5.34,acidic,acidic,neutral,254.237,2.948,2.73,70.67,2,4,green,green,green
101,1256,38.2,%,neutral,1.78,,-6.94,neutral,neutral,neutral,146.143,1.676,1.78,30.21,0,2,green,green,green
102,14440,-3.9,%,neutral,1.46,15.06,-1.16,neutral,neutral,neutral,399.437,1.919,1.46,83.09,1,6,green,green,green
103,13494,-120.4,%,neutral,5.79,,6.62,basic,neutral,neutral,344.837,4.444,5.84,17.82,0,1,red,green,red
104,1620,24.8,%,neutral,-0.22,14.16,6.53,basic,neutral,neutral,252.339,0.09,-0.11,88.89,3,3,green,green,green
105,343964,40.8,%,acidic,-0.35,4.48,-0.16,acidic,acidic,acidic,408.571,1.016,2.48,97.99,3,5,green,yellow,green
106,315123,-1.0,%,neutral,1.93,9.39,-2.17,neutral,neutral,neutral,169.565,1.57,1.94,46.0,1,2,green,green,green
107,80209,-6.9,%,basic,2.73,,9.76,basic,basic,basic,315.86,5.29,5.07,3.24,0,0,red,green,yellow
108,6216,22.8,%,basic,2.74,,9.2,basic,basic,basic,318.864,4.869,4.54,6.48,0,0,yellow,green,yellow
109,6579,-7.2,%,basic,0.88,,10.32,basic,basic,basic,319.872,4.534,3.93,28.16,1,1,yellow,green,green
110,11199,24.9,%,neutral,-0.88,,-4.39,neutral,neutral,neutral,348.372,2.502,-0.88,40.8,0,4,green,green,green
112,18694,22.3,%,neutral,4.01,10.7,-0.42,neutral,neutral,neutral,381.372,3.626,4.01,77.46,1,3,yellow,green,red
113,180228,16.5,%,acidic,-3.39,3.32,-1.73,acidic,acidic,acidic,462.503,0.43,0.03,150.54,2,8,green,yellow,green
114,485902,21.0,%,zwitterionic,-2.7,3.45,7.43,zwitterionic,zwitterionic,acidic,363.388,-0.252,-3.84,132.96,3,5,green,green,green
115,283927,-9.3,%,acidic,-4.12,4.2,-3.57,acidic,acidic,acidic,161.199,-3.24,-4.89,60.36,1,3,green,green,green
116,15086,23.2,%,neutral,2.77,15.96,-3.75,neutral,neutral,neutral,236.269,2.768,2.77,46.33,1,1,green,green,yellow
117,444750,4.0,%,acidic,-2.42,4.02,-1.26,acidic,acidic,acidic,217.285,-0.163,0.73,57.61,0,3,green,green,green
118,16485,22.1,%,neutral,-0.55,,-0.92,neutral,neutral,neutral,194.191,-0.536,-0.55,61.82,0,3,green,green,green
119,3599,-5.6,%,basic,1.35,,7.62,basic,basic,neutral,385.503,1.749,1.78,69.64,0,4,green,green,green
120,77128,7.2,%,basic,2.39,18.29,8.22,basic,basic,neutral,239.741,2.914,3.27,29.1,1,1,yellow,green,yellow
121,64396,23.8,%,basic,1.16,13.06,9.24,basic,basic,basic,261.359,3.025,2.99,45.4,2,2,green,green,green
122,40702,31.8,%,zwitterionic,-1.14,3.73,8.35,zwitterionic,zwitterionic,zwitterionic,308.373,0.458,-1.86,112.65,3,4,green,green,green
