,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
64,5975,-75.7,%,neutral,3.03,9.35,4.16,neutral,neutral,neutral
65,38727,13.6,%,neutral,1.91,14.98,5.87,neutral,neutral,neutral
66,486789,12.0,%,neutral,2.0,19.45,-3.35,neutral,neutral,neutral
67,4941,23.8,%,neutral,-0.69,13.61,3.35,neutral,neutral,neutral
68,5985,16.3,%,basic,0.72,11.71,9.47,basic,basic,basic
69,605,16.9,%,basic,2.48,,9.2,basic,basic,basic
70,11674,13.5,%,acidic,1.34,4.85,,acidic,acidic,acidic
71,712451,31.5,%,basic,-10.57,11.41,9.83,basic,basic,basic
72,125940,24.1,%,zwitterionic,-3.74,3.61,8.13,zwitterionic,zwitterionic,acidic
73,139286,22.0,%,acidic,0.49,4.32,0.06,acidic,acidic,acidic
74,2046,34.5,%,acidic,-1.25,4.25,-1.52,acidic,acidic,acidic
75,430012,18.1,%,neutral,0.09,8.27,-0.26,neutral,neutral,neutral
76,54722,39.0,%,basic,1.05,,9.16,basic,basic,basic
77,65402,9.5,%,basic,3.43,15.59,8.43,basic,basic,basic
78,2223,22.6,%,basic,1.83,,9.8,basic,basic,basic
79,13758,34.1,%,neutral,0.56,12.71,2.56,neutral,neutral,neutral
80,81683,-5.8,%,zwitterionic,2.93,4.04,9.01,zwitterionic,zwitterionic,zwitterionic
81,19915,11.7,%,basic,2.43,,8.77,basic,basic,basic
82,28331,34.2,%,neutral,5.28,,-4.93,neutral,neutral,neutral
